latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
28.35642,76.14301,335.23,0.52,0.41,2025-11-01,746,N,VIIRS,n,2.0NRT,304.11,2.04,D
28.35764,76.14528,331.44,0.52,0.41,2025-11-01,746,N,VIIRS,n,2.0NRT,302.41,3.06,D
29.09356,77.48702,333.13,0.44,0.38,2025-11-01,746,N,VIIRS,n,2.0NRT,302.25,3.27,D
29.20996,77.63349,338.85,0.43,0.38,2025-11-01,746,N,VIIRS,n,2.0NRT,301.33,1.84,D
29.24997,75.99911,332.38,0.51,0.41,2025-11-01,746,N,VIIRS,n,2.0NRT,301.17,3.41,D
29.27122,74.19802,341.02,0.42,0.45,2025-11-01,746,N,VIIRS,n,2.0NRT,304.18,4.24,D
29.36543,73.73717,341.93,0.44,0.46,2025-11-01,746,N,VIIRS,n,2.0NRT,303.35,3.56,D
29.38814,74.03866,342.2,0.42,0.46,2025-11-01,746,N,VIIRS,n,2.0NRT,304.74,6.14,D
29.38819,73.93289,336.15,0.43,0.46,2025-11-01,746,N,VIIRS,n,2.0NRT,302.27,5.09,D
29.38909,73.93729,339.52,0.43,0.46,2025-11-01,746,N,VIIRS,n,2.0NRT,302.32,5.09,D
29.40296,74.54151,345.03,0.4,0.44,2025-11-01,746,N,VIIRS,n,2.0NRT,303.47,4.73,D
29.40699,74.54047,343.4,0.4,0.44,2025-11-01,746,N,VIIRS,n,2.0NRT,303.45,4.73,D
29.41448,75.9832,336.05,0.51,0.41,2025-11-01,746,N,VIIRS,n,2.0NRT,303.08,3.83,D
29.42237,73.92848,331.43,0.43,0.46,2025-11-01,746,N,VIIRS,n,2.0NRT,305.75,2.42,D
29.42782,74.49644,331.24,0.4,0.44,2025-11-01,746,N,VIIRS,l,2.0NRT,301.38,1.23,D
29.42833,74.00059,331.74,0.43,0.46,2025-11-01,746,N,VIIRS,n,2.0NRT,301.73,1.98,D
29.44558,76.06703,334.67,0.5,0.41,2025-11-01,746,N,VIIRS,n,2.0NRT,302.9,7.61,D
29.48413,74.4659,340.47,0.4,0.44,2025-11-01,746,N,VIIRS,n,2.0NRT,302.74,4.44,D
29.49591,74.58687,347.92,0.4,0.44,2025-11-01,746,N,VIIRS,n,2.0NRT,306.9,16.01,D
29.49723,74.50977,334.45,0.4,0.44,2025-11-01,746,N,VIIRS,n,2.0NRT,301.59,2.07,D
29.5009,74.42266,338.43,0.4,0.44,2025-11-01,746,N,VIIRS,n,2.0NRT,302.51,5.94,D
29.50173,74.42677,340.62,0.4,0.44,2025-11-01,746,N,VIIRS,n,2.0NRT,303.1,5.94,D
29.50669,76.56763,332.92,0.47,0.4,2025-11-01,746,N,VIIRS,n,2.0NRT,300.73,4.13,D
29.50903,74.13438,340.32,0.42,0.45,2025-11-01,746,N,VIIRS,n,2.0NRT,304.45,12.24,D
29.5136,74.20845,331.11,0.41,0.45,2025-11-01,746,N,VIIRS,l,2.0NRT,302.82,2.93,D
29.51467,74.42772,330.35,0.4,0.44,2025-11-01,746,N,VIIRS,n,2.0NRT,300.41,2.02,D
29.51482,74.20438,337.36,0.41,0.45,2025-11-01,746,N,VIIRS,n,2.0NRT,302.4,2.7,D
29.52313,74.57556,351.18,0.4,0.44,2025-11-01,746,N,VIIRS,n,2.0NRT,303.64,7.94,D
29.53996,74.57543,334.89,0.4,0.44,2025-11-01,746,N,VIIRS,n,2.0NRT,303.98,2.15,D
29.5487,74.4921,332.76,0.4,0.44,2025-11-01,746,N,VIIRS,n,2.0NRT,304.02,1.3,D
29.55959,74.35999,332.63,0.41,0.45,2025-11-01,746,N,VIIRS,n,2.0NRT,303.49,3.06,D
29.56325,75.90341,338.55,0.51,0.41,2025-11-01,746,N,VIIRS,n,2.0NRT,303.37,8.26,D
29.59843,74.50943,331.11,0.4,0.44,2025-11-01,746,N,VIIRS,n,2.0NRT,302.34,2.32,D
29.67318,76.45051,332.83,0.48,0.4,2025-11-01,746,N,VIIRS,n,2.0NRT,301.89,1.94,D
29.6998,74.70224,331.31,0.39,0.44,2025-11-01,746,N,VIIRS,n,2.0NRT,306.23,1.49,D
