latitude,longitude,fire_date,confidence,frp,satellite,instrument,daynight,dnbr,severity
28.35642,76.14301,2025-11-01,70,2.04,N,VIIRS,D,-0.030355143947903517,Unburned / Recovered
28.35764,76.14528,2025-11-01,70,3.06,N,VIIRS,D,-0.01591488513945416,Unburned / Recovered
29.09356,77.48702,2025-11-01,70,3.27,N,VIIRS,D,-0.021187293416543983,Unburned / Recovered
29.20996,77.63349,2025-11-01,70,1.84,N,VIIRS,D,0.020144822534979286,Unburned / Recovered
29.24997,75.99911,2025-11-01,70,3.41,N,VIIRS,D,0.2521135583676231,Low
29.27122,74.19802,2025-11-01,70,4.24,N,VIIRS,D,0.16836028840704859,Low
29.36543,73.73717,2025-11-01,70,3.56,N,VIIRS,D,0.2426908192468979,Low
29.38814,74.03866,2025-11-01,70,6.14,N,VIIRS,D,0.19255057766283307,Low
29.38819,73.93289,2025-11-01,70,5.09,N,VIIRS,D,0.1968939984787304,Low
29.38909,73.93729,2025-11-01,70,5.09,N,VIIRS,D,0.2085184037998957,Low
