latitude,longitude,fire_date,confidence,frp,satellite,instrument,daynight,dnbr,severity
28.35642,76.14301,2025-11-01,70,2.04,N,VIIRS,D,-0.030355143947903517,Unburned / Recovered
28.35764,76.14528,2025-11-01,70,3.06,N,VIIRS,D,-0.01591488513945416,Unburned / Recovered
29.09356,77.48702,2025-11-01,70,3.27,N,VIIRS,D,-0.021187293416543983,Unburned / Recovered
29.20996,77.63349,2025-11-01,70,1.84,N,VIIRS,D,0.020144822534979286,Unburned / Recovered
29.24997,75.99911,2025-11-01,70,3.41,N,VIIRS,D,0.2521135583676231,Low
29.27122,74.19802,2025-11-01,70,4.24,N,VIIRS,D,0.16836028840704859,Low
29.36543,73.73717,2025-11-01,70,3.56,N,VIIRS,D,0.2426908192468979,Low
29.38814,74.03866,2025-11-01,70,6.14,N,VIIRS,D,0.19255057766283307,Low
29.38819,73.93289,2025-11-01,70,5.09,N,VIIRS,D,0.1968939984787304,Low
29.38909,73.93729,2025-11-01,70,5.09,N,VIIRS,D,0.2085184037998957,Low
29.40296,74.54151,2025-11-01,70,4.73,N,VIIRS,D,0.21428524720305553,Low
29.40699,74.54047,2025-11-01,70,4.73,N,VIIRS,D,0.20985175887211915,Low
29.41448,75.9832,2025-11-01,70,3.83,N,VIIRS,D,0.1621066938396556,Low
29.42237,73.92848,2025-11-01,70,2.42,N,VIIRS,D,0.10457837253588459,Low
29.42833,74.00059,2025-11-01,70,1.98,N,VIIRS,D,0.14485248426854305,Low
29.44558,76.06703,2025-11-01,70,7.61,N,VIIRS,D,0.21842012637369249,Low
29.48413,74.4659,2025-11-01,70,4.44,N,VIIRS,D,0.2502062881702825,Low
29.49591,74.58687,2025-11-01,70,16.01,N,VIIRS,D,0.3011170991391266,Moderate
29.49723,74.50977,2025-11-01,70,2.07,N,VIIRS,D,0.11764729406887381,Low
29.5009,74.42266,2025-11-01,70,5.94,N,VIIRS,D,0.17732539119897447,Low
29.50173,74.42677,2025-11-01,70,5.94,N,VIIRS,D,0.37424085821502534,Moderate
29.50669,76.56763,2025-11-01,70,4.13,N,VIIRS,D,0.05409655684946088,Unburned / Recovered
29.50903,74.13438,2025-11-01,70,12.24,N,VIIRS,D,0.1880638774480668,Low
29.51467,74.42772,2025-11-01,70,2.02,N,VIIRS,D,0.049299538659728796,Unburned / Recovered
29.51482,74.20438,2025-11-01,70,2.7,N,VIIRS,D,0.26194841314571066,Low
29.52313,74.57556,2025-11-01,70,7.94,N,VIIRS,D,0.28393705499817756,Moderate
29.53996,74.57543,2025-11-01,70,2.15,N,VIIRS,D,0.3791049654301577,Moderate
29.5487,74.4921,2025-11-01,70,1.3,N,VIIRS,D,0.27819158224061463,Moderate
29.55959,74.35999,2025-11-01,70,3.06,N,VIIRS,D,0.1558235519853351,Low
29.56325,75.90341,2025-11-01,70,8.26,N,VIIRS,D,0.16735393981949565,Low
29.59843,74.50943,2025-11-01,70,2.32,N,VIIRS,D,0.13860733992094768,Low
29.67318,76.45051,2025-11-01,70,1.94,N,VIIRS,D,0.2081489818561073,Low
29.6998,74.70224,2025-11-01,70,1.49,N,VIIRS,D,0.11381290679407485,Low
29.71318,77.83476,2025-11-01,70,3.77,N,VIIRS,D,0.02427460914424519,Unburned / Recovered
29.73541,74.60525,2025-11-01,70,4.39,N,VIIRS,D,0.14594059501551052,Low
29.73621,74.60925,2025-11-01,70,7.26,N,VIIRS,D,0.14678873972623857,Low
29.73902,75.32348,2025-11-01,70,8.93,N,VIIRS,D,0.1268445335033852,Low
29.73948,75.32105,2025-11-01,70,17.59,N,VIIRS,D,0.09135491220643639,Unburned / Recovered
29.74286,75.3225,2025-11-01,70,8.93,N,VIIRS,D,0.12982244965209488,Low
29.75269,76.20621,2025-11-01,70,1.87,N,VIIRS,D,0.4694360824772575,High
29.80205,75.37434,2025-11-01,70,6.99,N,VIIRS,D,0.14726519789869585,Low
29.82896,76.19603,2025-11-01,70,8.59,N,VIIRS,D,0.6954928051074839,High
29.83505,75.67023,2025-11-01,70,11.57,N,VIIRS,D,0.38461296879996126,Moderate
29.84193,75.47822,2025-11-01,70,6.93,N,VIIRS,D,0.2816804925676021,Moderate
29.84715,75.89942,2025-11-01,70,4.86,N,VIIRS,D,0.24897311540775754,Low
29.84804,75.9019,2025-11-01,70,5.98,N,VIIRS,D,0.28081349155325247,Moderate
29.85909,75.79614,2025-11-01,70,3.72,N,VIIRS,D,0.30878086697749996,Moderate
29.887,75.88148,2025-11-01,70,8.95,N,VIIRS,D,0.3265475020367561,Moderate
29.89357,76.16171,2025-11-01,70,3.43,N,VIIRS,D,0.511733437752327,High
29.89977,75.96971,2025-11-01,70,5.17,N,VIIRS,D,0.376220858969048,Moderate
29.90912,77.87334,2025-11-01,70,3.64,N,VIIRS,D,0.04120019502469707,Unburned / Recovered
29.91256,77.87257,2025-11-01,70,3.64,N,VIIRS,D,0.05255217330129831,Unburned / Recovered
29.98193,76.76251,2025-11-01,70,4.58,N,VIIRS,D,0.06750956706565461,Unburned / Recovered
29.9895,75.82626,2025-11-01,70,19.58,N,VIIRS,D,0.3849090226341218,Moderate
30.00345,76.08458,2025-11-01,70,10.74,N,VIIRS,D,0.43129970534990913,Moderate
30.00713,76.08367,2025-11-01,70,15.51,N,VIIRS,D,0.5202847765938927,High
30.03516,76.76149,2025-11-01,70,6.23,N,VIIRS,D,0.010116753669753639,Unburned / Recovered
29.7423,74.42926,2025-11-01,70,3.1,N,VIIRS,D,0.1639226818395352,Low
29.76714,74.36231,2025-11-01,70,2.03,N,VIIRS,D,0.07205823872357994,Unburned / Recovered
29.85033,74.76548,2025-11-01,70,2.98,N,VIIRS,D,0.12301128588105144,Low
29.8518,74.76299,2025-11-01,70,3.8,N,VIIRS,D,0.09666830184878368,Unburned / Recovered
29.86585,74.3928,2025-11-01,70,6.17,N,VIIRS,D,0.08710615355993265,Unburned / Recovered
29.86906,74.38764,2025-11-01,70,3.23,N,VIIRS,D,0.049459582151255,Unburned / Recovered
29.90727,74.41316,2025-11-01,70,1.92,N,VIIRS,D,0.10538927134481771,Low
29.91887,74.93446,2025-11-01,70,1.83,N,VIIRS,D,0.16623347200966634,Low
29.92704,74.61823,2025-11-01,70,4.06,N,VIIRS,D,0.21091842259141572,Low
29.9279,74.61891,2025-11-01,70,3.7,N,VIIRS,D,0.23187458604301903,Low
29.93402,74.50397,2025-11-01,70,2.14,N,VIIRS,D,0.09577674313456329,Unburned / Recovered
29.96308,73.09998,2025-11-01,70,8.97,N,VIIRS,D,0.38133220674561696,Moderate
29.97522,73.07126,2025-11-01,70,3.72,N,VIIRS,D,0.39578917313171424,Moderate
29.97553,73.13695,2025-11-01,70,2.95,N,VIIRS,D,0.2530558451102212,Low
29.98079,75.53082,2025-11-01,70,24.24,N,VIIRS,D,0.3452317738933387,Moderate
29.99071,73.12266,2025-11-01,70,3.76,N,VIIRS,D,0.1713305150067628,Low
30.01787,75.10976,2025-11-01,70,44.6,N,VIIRS,D,0.32071572652398567,Moderate
30.02215,75.00819,2025-11-01,70,4.03,N,VIIRS,D,0.16272710579826036,Low
30.04137,74.87732,2025-11-01,70,3.45,N,VIIRS,D,0.2313602402517753,Low
30.05769,76.06597,2025-11-01,70,5.27,N,VIIRS,D,0.4858606705942721,High
30.05991,74.45862,2025-11-01,70,1.77,N,VIIRS,D,0.08822204932585227,Unburned / Recovered
30.101,76.13412,2025-11-01,70,4.41,N,VIIRS,D,0.4588764493767898,High
30.10431,75.85441,2025-11-01,70,3.4,N,VIIRS,D,0.2572918656681483,Low
30.11057,74.9416,2025-11-01,70,3.07,N,VIIRS,D,0.09551319205125515,Unburned / Recovered
30.14599,74.87241,2025-11-01,70,2.11,N,VIIRS,D,0.22330918879377515,Low
30.15218,75.94439,2025-11-01,70,5.69,N,VIIRS,D,0.32581904825673613,Moderate
30.15909,75.69208,2025-11-01,70,7.39,N,VIIRS,D,0.30587019330323933,Moderate
30.16283,75.69114,2025-11-01,70,7.39,N,VIIRS,D,0.33607299766837206,Moderate
30.16632,75.75031,2025-11-01,70,3.64,N,VIIRS,D,0.46657901870353247,High
30.16763,75.8817,2025-11-01,70,12.03,N,VIIRS,D,0.2834329113635959,Moderate
30.16766,75.87962,2025-11-01,70,13.48,N,VIIRS,D,0.27366868263470745,Moderate
30.16793,73.40243,2025-11-01,70,10.93,N,VIIRS,D,0.17414052104213534,Low
30.17933,73.70957,2025-11-01,70,3.36,N,VIIRS,D,0.4147398235351029,Moderate
30.1796,73.71169,2025-11-01,70,2.14,N,VIIRS,D,0.40861604392774525,Moderate
30.1933,76.26942,2025-11-01,70,4.8,N,VIIRS,D,0.4118554963169473,Moderate
30.19615,74.59476,2025-11-01,70,2.26,N,VIIRS,D,0.2254032963637503,Low
30.19627,74.63714,2025-11-01,70,5.08,N,VIIRS,D,0.1880963629380136,Low
30.19682,73.14556,2025-11-01,70,3.66,N,VIIRS,D,0.07092291262882668,Unburned / Recovered
30.19778,75.44683,2025-11-01,70,2.96,N,VIIRS,D,0.3735489679076604,Moderate
