latitude,longitude,fire_date,confidence,frp,satellite,instrument,daynight,dnbr,severity
30.63608,75.56362,2025-11-10,70,3.55,N,VIIRS,D,0.403139711794943,Moderate
30.63889,74.15845,2025-11-10,70,6.09,N,VIIRS,D,-0.036852496670780874,Unburned / Recovered
30.63965,75.56301,2025-11-10,70,3.59,N,VIIRS,D,0.4415950059889414,High
30.64686,74.16566,2025-11-10,70,5.55,N,VIIRS,D,0.09851400908723755,Unburned / Recovered
30.64744,74.1699,2025-11-10,70,8.89,N,VIIRS,D,0.08189799788023369,Unburned / Recovered
30.64914,75.27882,2025-11-10,70,0.71,N,VIIRS,D,0.32621489510107726,Moderate
30.65885,74.50963,2025-11-10,70,3.08,N,VIIRS,D,0.12482625613555928,Low
30.66229,74.509,2025-11-10,70,3.08,N,VIIRS,D,0.07842288057511049,Unburned / Recovered
30.67123,75.78031,2025-11-10,70,11.21,N,VIIRS,D,0.35205233907960964,Moderate
30.67244,74.30033,2025-11-10,70,9.21,N,VIIRS,D,0.1259355616677531,Low
30.67838,74.95477,2025-11-10,70,2.42,N,VIIRS,D,0.3065426072846167,Moderate
30.68513,75.67756,2025-11-10,70,4.3,N,VIIRS,D,0.19769873670791757,Low
30.68692,75.07253,2025-11-10,70,1.95,N,VIIRS,D,0.3134192270730801,Moderate
30.6894,73.94349,2025-11-10,70,2.93,N,VIIRS,D,0.1795251070670709,Low
30.69574,75.33181,2025-11-10,70,7.99,N,VIIRS,D,0.23531720966336925,Low
30.69576,75.05827,2025-11-10,70,5.79,N,VIIRS,D,0.43138874259785287,Moderate
30.71626,75.69174,2025-11-10,70,2.17,N,VIIRS,D,0.19251479490037762,Low
30.71735,75.24833,2025-11-10,70,3.19,N,VIIRS,D,0.4490988857125955,High
30.71964,75.24449,2025-11-10,70,2.62,N,VIIRS,D,0.3553849277502286,Moderate
30.72526,75.73405,2025-11-10,70,3.02,N,VIIRS,D,0.22378654871573017,Low
30.72886,75.73344,2025-11-10,70,3.02,N,VIIRS,D,0.13474339870514923,Low
30.73317,75.12569,2025-11-10,100,11.29,N,VIIRS,D,0.1864068524999189,Low
30.74836,74.42436,2025-11-10,70,11.32,N,VIIRS,D,0.10577557930656381,Low
30.75206,74.32243,2025-11-10,70,2.91,N,VIIRS,D,0.012111825150815232,Unburned / Recovered
30.79066,74.96351,2025-11-10,70,2.76,N,VIIRS,D,0.1587374111417416,Low
30.79103,74.96093,2025-11-10,70,1.62,N,VIIRS,D,0.13550353744740132,Low
30.81029,74.46622,2025-11-10,70,2.56,N,VIIRS,D,0.04013849817749857,Unburned / Recovered
30.81585,75.37393,2025-11-10,70,8.43,N,VIIRS,D,0.44631780904523316,High
30.82531,74.89539,2025-11-10,70,1.97,N,VIIRS,D,0.18204052186073852,Low
30.82544,74.52568,2025-11-10,70,2.08,N,VIIRS,D,0.10665633636257017,Low
30.85266,75.40563,2025-11-10,70,5.16,N,VIIRS,D,0.3557601636340926,Moderate
30.87193,75.30986,2025-11-10,70,5.32,N,VIIRS,D,0.4407096015172657,High
30.88037,75.04199,2025-11-10,70,4.73,N,VIIRS,D,0.43299088463306007,Moderate
30.88388,75.04137,2025-11-10,70,4.73,N,VIIRS,D,0.4631711991919947,High
30.93646,76.08912,2025-11-10,70,1.93,N,VIIRS,D,0.18379891735440507,Low
30.93958,76.09174,2025-11-10,70,3.45,N,VIIRS,D,0.13885054839922262,Low
30.86688,74.50562,2025-11-10,70,2.7,N,VIIRS,D,0.06329168510082092,Unburned / Recovered
30.87032,74.50499,2025-11-10,70,2.7,N,VIIRS,D,0.05268164558315874,Unburned / Recovered
30.87743,74.61097,2025-11-10,70,1.77,N,VIIRS,D,0.058506792279499766,Unburned / Recovered
30.88737,74.44855,2025-11-10,70,4.47,N,VIIRS,D,0.03898792953797091,Unburned / Recovered
30.9166,75.07385,2025-11-10,70,1.84,N,VIIRS,D,0.3096241862069146,Moderate
30.91674,75.07269,2025-11-10,70,2.26,N,VIIRS,D,0.34101329521514956,Moderate
30.91751,73.10206,2025-11-10,70,2.79,N,VIIRS,D,0.20186077466454597,Low
30.93643,73.30371,2025-11-10,70,2.77,N,VIIRS,D,0.3163280661198235,Moderate
30.93765,75.2103,2025-11-10,70,3.87,N,VIIRS,D,0.3949184754427765,Moderate
30.93805,74.88106,2025-11-10,70,3.41,N,VIIRS,D,0.15841963295810602,Low
30.96,75.15953,2025-11-10,70,2.57,N,VIIRS,D,0.38010425565170575,Moderate
30.97243,74.48766,2025-11-10,70,3.55,N,VIIRS,D,0.046308636977564634,Unburned / Recovered
30.97301,74.49203,2025-11-10,70,4.07,N,VIIRS,D,0.030348572644061135,Unburned / Recovered
30.97311,74.54564,2025-11-10,70,1.83,N,VIIRS,D,-0.06258590860617835,Unburned / Recovered
